gene_orf	gene_symbol
DMEL_CG3183	geminin
DMEL_CG8171	dup
DMEL_CG31917	CG31917
DMEL_CG7764	mrn
DMEL_CG3227	insv
DMEL_CG43078	CG43078
DMEL_CG8604	Amph
DMEL_CG3260	Zfrp8
DMEL_CG5920	RpS2
DMEL_CG32685	ZAP3
DMEL_CG32810	inc
DMEL_CG7809	Grasp65
DMEL_CG8846	Thor
DMEL_CG33156	CG33156
DMEL_CG6145	CG6145
DMEL_CG3325	spn-B
DMEL_CG4879	RecQ5
DMEL_CG3340	Kr
DMEL_CG3430	CG3430
DMEL_CG4082	Mcm5
DMEL_CG3501	CG3501
DMEL_CG3678	CG3678
DMEL_CG9998	U2af50
DMEL_CG3644	bic
DMEL_CG8759	Nacalpha
DMEL_CG3680	CG3680
DMEL_CG3689	CG3689
DMEL_CG7185	CG7185
DMEL_CG9181	Ptp61F
DMEL_CG3758	esg
DMEL_CG8376	ap
DMEL_CG3956	sna
DMEL_CG4003	pont
DMEL_CG9750	rept
DMEL_CG4005	yki
DMEL_CG4027	Act5C
DMEL_CG4087	RpLP1
DMEL_CG7490	RpLP0
DMEL_CG4204	EloB
DMEL_CG4262	elav
DMEL_CG4396	fne
DMEL_CG4264	Hsc70-4
DMEL_CG7945	CG7945
DMEL_CG8881	skpB
DMEL_CG6376	E2f
DMEL_CG4673	Npl4
DMEL_CG6233	Ufd1-like
DMEL_CG4717	kni
DMEL_CG4764	Vps29
DMEL_CG5625	Vps35
DMEL_CG4798	l(2)k01209
DMEL_CG5537	CG5537
DMEL_CG4898	Tm1
DMEL_CG4980	BCAS2
DMEL_CG6905	Cdc5
DMEL_CG9128	Sac1
DMEL_CG5043	CG5043
DMEL_CG9188	sip2
DMEL_CG5072	Cdk4
DMEL_CG9096	CycD
DMEL_CG5163	TfIIA-S
DMEL_CG5930	TfIIA-L
DMEL_CG5179	Cdk9
DMEL_CG6292	CycT
DMEL_CG5190	CG5190
DMEL_CG7113	scu
DMEL_CG5215	Zn72D
DMEL_CG5641	CG5641
DMEL_CG8142	CG8142
DMEL_CG5433	Klc
DMEL_CG7765	Khc
DMEL_CG5452	dnk
DMEL_CG9670	fal
DMEL_CG5460	H
DMEL_CG5575	ken
DMEL_CG5581	Ote
DMEL_CG6944	Lam
DMEL_CG8316	CG8316
DMEL_CG9238	CG9238
DMEL_CG9933	A16
DMEL_CG5709	ari-2
DMEL_CG5788	UbcD10
DMEL_CG43782	orb2
DMEL_CG9214	Tob
DMEL_CG7230	rib
DMEL_CG5848	cact
DMEL_CG6667	dl
DMEL_CG5927	Her
DMEL_CG5933	Ime4
DMEL_CG7818	CG7818
DMEL_CG5941	CG5941
DMEL_CG9099	CG9099
DMEL_CG5972	Arpc4
DMEL_CG9881	Arpc5
DMEL_CG6017	Hip14
DMEL_CG9224	sog
DMEL_CG6058	Ald
DMEL_CG6096	E(spl)m5-HLH
DMEL_CG6213	Vha13
DMEL_CG6551	fu
DMEL_CG6249	Csl4
DMEL_CG8025	Mtr3
DMEL_CG6251	Nup62
DMEL_CG6819	mbo
DMEL_CG6386	ball
